49,,"2018-08-09 11:20:39",1,3,1,1,0,0,3,2,0,3.91,3.97,23,5,6,,2,3,,,,2,1,4,3,3,2,5,4,3,3,4,2,4,3,4,2,5,3,2,2,3,2,2,2,4,2,5,2,1,2,2,4,4,2,4,4,4,2,1,1,2,4,3,2,5,3,5,4,2,4,30,43,34,37,36,2
50,,"2018-08-09 13:06:01",1,1,1,1,0,1,3,3,0,4,4,22,1,,,1,2,,,,2,3,4,4,3,2,3,1,3,2,4,1,5,5,5,3,3,2,3,3,3,4,3,3,5,3,3,2,3,1,3,3,5,3,5,3,3,1,1,1,3,3,5,3,3,3,3,3,1,4,31,31,43,31,38,2
51,,"2018-08-09 18:55:47",1,2,1,1,0,1,20,4,0,3.8,3.7,20,5,9,,2,3,,,,3,4,4,4,3,1,5,3,4,4,5,1,4,4,5,2,5,2,2,3,,1,2,3,,1,5,2,4,5,3,2,5,3,4,2,4,3,3,2,5,5,,2,5,4,4,3,2,4,,44,,29,,2
52,,"2018-08-10 13:03:16",1,1,1,1,0,1,8,1,0,3.0,3.6,23,5,6,,1,3,,,,4,1,4,2,2,1,5,3,4,2,5,1,4,4,3,2,4,1,5,4,4,2,4,2,4,2,4,1,1,3,4,1,4,1,4,3,4,1,1,1,4,4,5,2,5,3,4,4,1,3,40,44,43,43,31,2
53,,"2018-08-10 13:20:30",1,1,1,1,0,0,11,7,0,3.44,,22,3,,,2,4,,,,4,1,4,3,3,1,5,1,3,3,5,1,5,4,2,1,5,2,3,3,5,1,4,2,3,1,4,1,1,2,5,1,5,1,3,3,5,1,1,2,4,5,5,1,4,2,5,5,1,3,45,49,47,40,30,2
54,,"2018-08-10 19:17:40",1,1,1,1,0,0,1,1,0,3.85,,20,1,,,2,3,,,,2,2,4,3,3,2,4,1,4,2,5,1,5,5,3,2,5,1,3,3,4,2,3,2,3,2,5,2,2,2,4,2,4,2,3,3,4,3,2,2,3,4,5,2,5,3,4,5,1,3,36,43,43,36,33,2
55,,"2018-08-11 13:52:57",1,4,2,2,0,0,15,3,0,3.23,3.44,18,5,4,,2,3,,,,2,1,4,4,3,3,4,4,3,3,4,2,4,4,5,3,5,4,2,2,4,2,2,4,4,2,5,4,4,1,4,2,4,4,3,3,5,2,4,2,1,5,4,4,5,4,4,4,4,4,30,45,32,21,38,2
56,,"2018-08-11 17:52:06",1,1,1,1,0,1,5,1,0,3.89,,21,1,,,1,2,,,,1,4,4,2,4,2,4,2,5,2,5,1,5,2,5,5,5,2,1,1,5,2,4,5,5,2,5,3,1,1,1,1,5,1,5,5,5,1,1,3,4,5,5,1,3,3,5,5,1,5,29,45,44,40,44,2
57,,"2018-08-12 16:22:10",1,4,1,1,0,1,15,5,0,3.77,,20,5,4,,2,3,,,,4,2,4,4,4,2,4,2,3,2,4,2,4,4,3,2,5,2,2,2,4,2,4,3,4,2,3,2,2,2,3,2,4,3,4,4,4,3,2,3,3,5,4,3,4,3,4,4,2,4,35,41,39,30,38,2
58,,"[not completed]",1,3,1,1,0,0,10,2,0,3.4,,,1,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
